text_ID,volume_ID,page_ID,row_number,text
W1PD133161,I4PD2795,I4PD27950003,1,༄༅།།ཀུན་མཁྱེན་ཤར་རྫ་པ་བཀྲ་ཤིས་རྒྱལ་
W1PD133161,I4PD2795,I4PD27950003,2,མཚན་གྱི་གསུང་འབུམ་བཞུགས་སོ།།
W1PD133161,I4PD2795,I4PD27950003,3,གཡུང་དྲུང་བོན་གྱི་བཀའ་བརྟེན་དཔེ་རྙིད་ཕྱོགས་སྒྲིག་ཁང་ནས།
W1PD133161,I4PD2795,I4PD27950003,4,སི་ཁྲོན་དཔེ་སྐྲུན་ཚོགས་པ། སི་ཁྲོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།
W1PD133161,I4PD2795,I4PD27950004,1,༄༅།།ཀུན་མཁྱེན་ཤར་རྫ་པ་བཀྲ་ཤིས་རྒྱལ་མཚན་གྱི་
W1PD133161,I4PD2795,I4PD27950004,2,གསུང་འབུམ་བཞུགས་སོ།།
W1PD133161,I4PD2795,I4PD27950004,3,༡ ཀུན་མཁྱེན་ཤར་རྫ་པའི་རྣམ་ཐར་ཆེན་མོ།
W1PD133161,I4PD2795,I4PD27950004,4,༢ སྔོན་འགྲོའི་ཁྲིད་རིམ་བཀའ་ལུང་རྒྱ་མཚོའི་སྐོར།
W1PD133161,I4PD2795,I4PD27950004,5,༣ རྫོགས་པ་ཆེན་པོ་སྐུ་གསུམ་རང་ཤར།
W1PD133161,I4PD2795,I4PD27950004,6,༤ སྐྱབས་འགྲོ་དང་བྱང་སེམས་ཞིང་འགྲེལ་སོགས་ཀྱི་སྐོར།
W1PD133161,I4PD2795,I4PD27950004,7,༥ ལེགས་བཤད་རིན་པོ་ཆེའི་མཛོད་དཔྱོད་ལྡན་དགའ་བའི་ཆར།
W1PD133161,I4PD2795,I4PD27950004,8,༦ ལུང་རིགས་རིན་པོ་ཆེའི་མཛོད་བློ་གསལ་སྙིང་གི་ནོར།
W1PD133161,I4PD2795,I4PD27950004,9,༧ སྡེ་སྣོད་རིན་པོ་ཆེའི་མཛོད། སྟོད་ཆ།
W1PD133161,I4PD2795,I4PD27950004,10,༨ སྡེ་སྣོད་རིན་པོ་ཆེའི་མཛོད། སྨད་ཆ།
W1PD133161,I4PD2795,I4PD27950004,11,༩ ནམ་མཁའ་མཛོད་ཀྱི་ཁྲིད་གདམས་སྐོར།
W1PD133161,I4PD2795,I4PD27950004,12,༡༠ ནམ་མཁའ་མཛོད་ཀྱི་སྒྲུབ་སྐོར།
W1PD133161,I4PD2795,I4PD27950004,13,༡༡ དབྱིངས་རིག་རིན་པོ་ཆེའི་མཛོད་གསང་བ་ངེས་པའི་རྒྱན།
W1PD133161,I4PD2795,I4PD27950004,14,༡༢ དབྱིངས་རིག་རིན་པོ་ཆེའི་མཛོད་ལས་ལམ་དང་འབྲས་བུའི་ཁྲིད།
W1PD133161,I4PD2795,I4PD27950004,15,༡༣ གསང་སྔགས་བསྐྱེད་རྫོགས་སོགས་ཀྱི་སྐོར།
W1PD133161,I4PD2795,I4PD27950004,16,༡༤ སྡོམ་གསུམ་རྣམ་པར་འབྱེད་པའི་བཀའ་བརྟེན།
W1PD133161,I4PD2795,I4PD27950004,17,༡༥ ཞལ་གདམས་དང་བླ་བསྟོད་གསོལ་འདེབས་སོགས་ཀྱི་སྐོར།
W1PD133161,I4PD2795,I4PD27950004,18,༡༦ ཉམས་ཁྲིད་སྙིང་གི་རྒྱ་ཅན་སོགས་ལེའུ་ཕྲན་གྱི་སྐོར།
W1PD133161,I4PD2795,I4PD27950004,19,༡༧ བསང་བསྡུས་འདོད་རྒུའི་སྤྲིན་ཆེན་སོགས་ལེའུ་ཕྲན་གྱི་སྐོར།
W1PD133161,I4PD2795,I4PD27950005,1,༄༅།ཀུན་མཁྱེན་ཤར་རྫ་པ་བཀྲ་ཤིས་རྒྱལ་མཚན་
W1PD133161,I4PD2795,I4PD27950005,2,འདི་གསུང་འབུམ་བཞགས་སོ།
W1PD133161,I4PD2795,I4PD27950007,1,༄༅།ཀུན་མཁྱེན་ཤར་རྫ་པ་བཀྲ་ཤིས་རྒྱལ་མཚན་གྱི་གསུང་འབུམ།
W1PD133161,I4PD2795,I4PD27950007,2,སྡེ་སྣོད་རིན་པོ་ཆེའི་མཛོད།
W1PD133161,I4PD2795,I4PD27950007,3,སྟོད་ཆ།
W1PD133161,I4PD2795,I4PD27950007,4,སི་ཁྲོན་དཔེ་སྐྲུན་ཚོགས་པ། · སི་ཁྲོན་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།
W1PD133161,I4PD2795,I4PD27950008,1,དཔེ་སྐྲུན་གྱི་བདག་དབང་འདི་གར་ཡོད་པས་པར་
W1PD133161,I4PD2795,I4PD27950008,2,བཤུས་བྱས་ན་ཁྲིམས་ཀྱི་ཆད་པ་ཕོག་ངེས་ཡིན།
W1PD133161,I4PD2795,I4PD27950009,1,རྗེ་བཙན་ཤར་རྫ་པ་བཀྲ་ཤིས་རྒྱལ་མཚན་གྱི་སྐེས་རབས།
W1PD133161,I4PD2795,I4PD27950010,1,སྙ་ཆེན་ལི་ཤུ་སྟག་རིང་། 
W1PD133161,I4PD2795,I4PD27950011,1,དཔེ་སྒྲིག་གསལ་བཤད།
W1PD133161,I4PD2795,I4PD27950011,2,དེ་ཡང་སྐྱབས་རྗེ་སྨན་སློབ་སྨྲ་དབང་བསྟན་རྣམ་རིན་པོ་ཆེའི་ཞལ་ལས།
W1PD133161,I4PD2795,I4PD27950011,3,ཕྱོགས་དུས་རྒྱལ་བ་ཀུན་གྱི་ཐུགས་དམ་མཐིལ། །རང་འབྱུང་རང་རིག་ཀ་དག་
W1PD133161,I4PD2795,I4PD27950011,4,ལྷུན་གྱིས་གྲུབ། །མཐའ་བཞི་རྒྱ་གྲོལ་སྨྲ་བསམ་བརྗོད་འདས་བོན། །མངོན་གྱུར་
W1PD133161,I4PD2795,I4PD27950011,5,མིའི་གཟུགས་སངས་རྒྱས་ལ་ཕྱག་འཚལ། །གསལ་སྟོང་དབྱེར་མེད་བློ་ལས་འདས་
W1PD133161,I4PD2795,I4PD27950011,6,པའི་གཞི། །རྣ་བར་སོན་ཙམ་རྟོག་གེའི་ཡིད་འཁྲུགས་བྱེད། །གསལ་བ་སྟོང་དང་
W1PD133161,I4PD2795,I4PD27950011,7,སྟོང་པ་གསལ་བའི་ཚུལ། །ཇི་བཞིན་གཟིགས་པ་འདི་ལས་ངོ་མཚར་གང་། ། དེ་
W1PD133161,I4PD2795,I4PD27950011,8,ལྟར་ཡེ་གཞི་མངོན་གྱུར་མཐར་ཕྱིན་ཚེ། །སྒྲིབ་ཚོགས་ཆགས་པའི་གཞི་བྲལ་འོད་
W1PD133161,I4PD2795,I4PD27950011,9,དུ་ཟད། །ཟད་པ་མཐར་ཕྱིན་ཀུན་བཟང་ངང་དུ་བཞུགས། །ཚུལ་འདིས་ཁྱེད་
W1PD133161,I4PD2795,I4PD27950011,10,ལ་བསྟོད་ཀྱི་གཞན་དུ་ཅི། །ཞི་བར་གཤེགས་ཀྱང་བརྩེ་བ་མ་དོར་བས། །སྟོང་
W1PD133161,I4PD2795,I4PD27950011,11,གཟུགས་བོན་གྱི་འཁོར་ལོས་དབང་བསྒྱུར་ཏེ། །རྩམ་གཟན་ཙམ་མིན་འགྲོ་ལ་ཐར་
W1PD133161,I4PD2795,I4PD27950011,12,ལམ་བསྟན། །ཚུལ་འདི་ཡིས་ནི་ཉིད་ལ་བསྟོད་པའི་སྒོ། ། སྣང་སྲིད་ཡེ་གཞིའི་
W1PD133161,I4PD2795,I4PD27950011,13,རང་བཞིན་ཤར་བ་ལ། །འཁོར་འདས་སྐྱོན་ཡོན་བདེ་སྡུག་མི་བསླུ་བ། །སྟོང་པ་
W1PD133161,I4PD2795,I4PD27950011,14,ཆེན་པོའི་ངང་ལས་མི་གཡོ་བཞིན། །སྒྲ་མཐུན་དོན་འཕགས་གཟིགས་འདི་ཡ་
W1PD133161,I4PD2795,I4PD27950011,15,མཚན་ཆེ། །ཇི་ལྟར་ཉིད་ཀྱིས་གཟིགས་པའི་འདོད་ཡོན་རྣམས། །གམ་བཅར་
W1PD133161,I4PD2795,I4PD27950011,16,དག་གིས་ཆ་ཙམ་མ་མཐོང་ཡང་། །སྒྲ་ཙམ་ལ་བརྟེན་བརྡ་སྦྱོར་ཚུལ་དག་ནི། །ཇི་
W1PD133161,I4PD2795,I4PD27950011,17,བཞིན་མཛད་པ་འདི་ནི་ངོ་མཚར་ཆེ། །ཚིག་སྦྱོར་སྙན་པོས་ངོ་བསྟོད་གཞིར་
W1PD133161,I4PD2795,I4PD27950011,18,བཟུང་སྟེ། །རི་མོ་བྲིས་པ་དེ་ཡང་འདི་ན་མིན། །ཡུན་ནས་དོན་གྱི་རྟོགས་པ་ལ་དད་
W1PD133161,I4PD2795,I4PD27950011,19,ནས། །སྨྲས་པ་འདི་ཡང་བཅོས་མ་ཡིན་སྙམ་མེད། །རྗེ་བཙུན་མངྒ་ཝེར་ཞི་རིག་
W1PD133161,I4PD2795,I4PD27950012,1,པ་རང་ཤར་གྱི་མཚན་དོན་དང་འབྲེལ་བའི་བསྟོད་པ་བྱས་པས་ཀུན་
W1PD133161,I4PD2795,I4PD27950012,2,མའི་བྱིན་རླབས་སེམས་ལ་ཐོབ་པར་གྱུར་ཅིག །ཅེས་གསུངས་པའི་བསྟོད་ཡུལ་
W1PD133161,I4PD2795,I4PD27950012,3,དམ་པ། མཁས་ཤིང་གྲུབ་པའི་དབང་པོ་ཀུན་མཁྱེན་༧ ཤར་རྫ་པ་ཆེན་པོ་མཆོག་
W1PD133161,I4PD2795,I4PD27950012,4,ཐོག་མར་བྱ་བྲལ་ཉམ་ཆུང་གི་སྒོ་ནས་མཚན་ལྡན་བླ་མ་དམ་པ་མཉེས་གསུམ་
W1PD133161,I4PD2795,I4PD27950012,5,གྱིས་ཚུལ་མཐུན་བསྟེན་ཞིང་ཐོས་བསམ་ཚུལ་བཞིན་གནང་བའི་ཐོག་མའི་ཟིན་ཐོ་
W1PD133161,I4PD2795,I4PD27950012,6,རིམ་རྒྱས་བཏང་བའི་སྔོན་འགྲོའི་ཁྲིད་རིམ་བཀའ་ལུང་རྒྱ་མཚོ་དེ་ཉིད་རྗེ་ཉིད་ནས་
W1PD133161,I4PD2795,I4PD27950012,7,རང་ལ་གསལ་འདེབས་དང་གཞན་ལ་ཕན་ཕྱིར་ཁྲིད་དང་འཆད་པ་གནང་བ་གདུལ་
W1PD133161,I4PD2795,I4PD27950012,8,བྱའི་ཁམས་དང་མོས་པར་ཕན་རླབས་ཆེ་བར་བརྟེན། གཏེར་ཆེན་གསང་གླིང་
W1PD133161,I4PD2795,I4PD27950012,9,མཆོག་ནས་རྗེ་ཉིད་ཀྱི་བསྟན་དོན་རྒྱ་ཆེར་འབྱུང་བ་མ་འོངས་སྔོན་གཟིགས་ཀྱི་བཀས་
W1PD133161,I4PD2795,I4PD27950012,10,བསྐུལ་གནང་དོན། གང་ཉིད་ཀྱི་གསུང་རྣམས་པར་དུ་བརྐོ་དགོས་ཚུལ་བརྗོད། རྗེ་
