I0753707E,W3PD355
I09209848,W525
I0C7046B0,W3PD363
I0CFF4CA4,W3CN8015
I13A89F6E,W3CN8387
I2C88F1CB,W3PD246
I2D33A4AC,W4CZ34105
I2E1FBA82,W8LS20664
I37A1214F,W3CN7920
I3E084E79,W8LS17977
I42DB004C,W3CN8060
I4B31E076,W8LS18739
I4BF40D4A,W4CZ294459
I53F5B8B5,W3PD234
I56A6F858,W8LS19204
I5873A4DF,W3CN8194
I59C5CDB5,W3CN8043
I5ED66044,W8LS20677
I6E41D171,W4CZ34261
I706B9EB7,W8LS18445
I74E9644D,W8LS20239
I7F261771,W4CZ30835
I84890981,W3CN7845
I90828F41,W8LS18091
I90B36A21,W8LS18262
I91DB7493,W3PD358
I9AD4648F,W3CN7991
IA349BCC4,W3PD386
IA40DB81C,W8LS18460
IB21F8CD2,W3CN7997
IB56C03D3,W3PD415
IB66D1BB9,W3CN8018
ICC074374,W8LS20836
ID1E0D47C,W3CN8369
ID2152A41,W3CN8046
IE890C5B7,W8LS20768
IF89E8CFF,W8LS20643
IFB44F448,W8LS20744
IFEC90EFB,W3CN7877
