I6EB405D9,རྔོག་སློབ་བརྒྱུད་དང་བཅས་པའི་གསུང་འབུམ།,W1KG16666
I3DA1616D,སྒམ་པོའི་གདན་རབས་རིམ་བྱོན་གྱི་གསུང་འབུམ།,W1AC309
I31F08544,གསུང་རབ་སྒོ་མཛོད་རིན་པོ་ཆེའི་གླེགས་བམ།,W4PD502
ID8BACBB1,བསྟན་བཅོས་མངོན་རྟོགས་རྒྱན་ཚིག་དོན་གྱི་སྒོ་ནས་བཤད་པ་བྱམས་མགོན་ཞལ་ལུང་།,W1AC50
IAC23BB41,གསུང་འབུམ། ཡེ་ཤེས་རྒྱལ་མཚན།,W1KG16655
I11964F73,པོད་ཆེན་དྲུག་རྩ་འགྲེལ་ཕྱོགས་བསྒྲིགས།,W1PD181143
I60CCBFB2,རྒྱན་འཇུག་གཉིས་དང་བསྟོད་ཆེན་བཞི།,W1AC55
IA24B2885,དགའ་ལྡན་ལྷ་བརྒྱ་མ་དང་ཐུན་དྲུག་གི་འཁྲིད་སོགས།,W1KG25243
IEFA32E69,གསུང་འབུམ། ངག་དབང་བློ་བཟང་རྒྱ་མཚོ།,W1PD107937
IEA52EE2E,གསུང་འབུམ། ཤཱཀྱ་མཆོག་ལྡན།,W1KG16652
IB80F7850,གསུང་འབུམ། གྲགས་པ་བཤད་སྒྲུབ། ༼གློག་ཀླད་པར་མ།༽,W1KG13759
I10F74A1D,སྒོ་བཞི་མཛོད་ལྔའི་ཡང་བཅུད།,W3PD398
I6CA64400,འབྲུག་པ་ཀུན་ལེགས་ཀྱི་རང་རྣམ།,W29152
I11B27745,འཕགས་ཡུལ་རྒྱན་དྲུག་མཆོག་གཉིས་ཀྱི་ཞལ་ལུང་།,W3CN3408
I32BDB0DA,ལེགས་བཤད་ཟླ་བའི་སྣང་བ།,W1AT884
IFFF3FCF6,གསུང་འབུམ། དྲི་མེད་འོད་ཟེར། （དཔལ་བརྩེགས། མེས་པོའི་ཤུལ་བཞག）,W1KG4884
IE4EC34A8,ཀུན་མཁྱེན་འཇམ་དབྱངས་བཞད་པའི་འདུལ་བའི་སྤྱི་དོན།,W1KG17114
IBBE88D74,གསུང་འབུམ། གོ་རམས་པ་བསོད་ནམས་སེངྒེ,W1KG16651
I0C772155,གསང་སྔགས་ངག་དོན་འཕྲུལ་གྱི་ལྡེ་མིག་སོགས། （མཚན་ཉིད་སྐོར།）,W3PD415
I8E7974FD,བོད་ཀྱི་བརྡ་སྤྲོད་ཕྱོགས་བསྒྲིགས།,W3CN3425
I5931311E,བསྙུང་གནས་ཀྱི་རྣམ་བཤད་དང་ཕན་ཡོན་སྐོར་ཕྱོགས་བསྒྲིགས།,W1KG13001
I26F4EA2B,ཨེ་ཝཾ་བཀའ་འབུམ་ཁ་སྐོང་།,W1AC308
IFDC88B61,རང་བཞིན་རྫོགས་པ་ཆེན་པོ་ལས་བརྩམས་ཏེ་ལྷའི་ཟླ་བས་དྲིས་པའི་ལན་གསང་བའི་གཏེར་མཛོད།,W3CN5387
IAAFA5DF0,གསུང་འབུམ། སྐལ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན།,W1AC242
I2FC4B3E1,ཤར་རྫ་པ་བཀྲ་ཤིས་རྒྱལ་མཚན་གྱི་གསུང་འབུམ།,W1PD133161
I7D011308,གསུང་འབུམ། ཆོས་ཀྱི་རྒྱལ་མཚན།,W1AC364
I57B775F7,རྒྱལ་པོ་མདོ་བཅུའི་རྩ་འགྲེལ་ཕྱོགས་བསྒྲིགས།,W3CN5823
I70F7713C,འགྲེལ་པ་དོན་གསལ་དང་། རྣམ་བཤད་སྙིང་པོ་རྒྱན་གྱི་དགོངས་འགྲེལ་ཚིག་དོན་རབ་གསལ།,W1KG16455
ICAE96555,རྒྱུད་བཞིའི་འགྲེལ་བ་མེས་པོའི་ཞལ་ལུང་། སྨད་ཆ།,W8LS19192
I5E4FCCEE,ཕྱག་རྒྱ་ཆེན་པོའི་སྒྲོས་འབུམ།,W1AC327
I34BBC914,ཕྱག་ཆེན་རྒྱ་གཞུང་།,W1AC321
IBF440FCF,བསྟན་རིམ་ཆེན་མོ།,W1KG24221
I366C6B99,བཅོས་དཀའི་ནད་ཀྱི་གཉེན་པོའི་སྨན་སྦྱོར་གཅེས་བཏུས།,W00KG07624
I9B510528,མཁས་འཇུག་གི་རྩ་བ་དང་སྡོམ་བྱང་།,W3CN5459
IC79F9871,འཇམ་མགོན་ཆོས་ཀྱི་རྒྱལ་པོ་ཙོང་ཁ་པ་ཆེན་པོའི་རྣམ་ཐར།,W1KG8584
I28022227,རླབས་ཆེན་གྱི་བྱ་བཞག་འདིས་རླབས་ཆེན་གྱི་མི་སྣ་མཚོན།,W8LS20504
I51F051B3,ཕན་བདེའི་འཇུག་ངོགས།,W1KG8471
IBE858C4D,གསུང་འབུམ། པཎ་ཆེན་བསོད་ནམས་གྲགས་པ།,W3CN7829
I0C33FDC4,གསུང་ཐོར་བུ། བློ་བཟང་དཔལ་ལྡན།,W00KG08430
I5C5C6EC8,གསུང་འབུམ། རེད་མདའ་བ་གཞོན་ནུ་བློ་གྲོས།,W3CN3417
I281C46F7,རིས་མེད་ཆོས་རིག་གཏེར་མཛོད་ལས། ཐེངས་གཉིས་པ་དང་གསུམ་པ།,W3CN7099
IBE9E0CE3,གསུང་འབུམ། བློ་གྲོས་གྲགས་པ།,W4CZ34105
IA0093088,ཕྱག་ཆེན་སྔོན་འགྲོའི་ངག་འདོན།,W3CN5177
IBD638543,དྲི་བཟང་ཐུལ་བའི་སྨན་ལྗོངས།,W00EGS1017422
IF90D6F2D,དུས་ཀྱི་འཁོར་ལོའི་སྤྱི་དོན། ༼དེབ་གཉིས་པ།༽,W3CN4347
I619646D7,གསུང་འབུམ། སྒམ་པོ་པའི་གདན་རབས་རིམ་བྱོན།（1-5）,W3CN8060
I4138AD2D,རིམ་ལྔའི་མཐའ་དཔྱོད་གསང་དོན་ཀུནྡ་བཞད་པའི་ལེགས་བཤད་རྒྱུ་སྐར་བདག་པོ།,W1KG25192
IA9294D8D,གཙང་སྟོད་ཟིན་ཐིག་དང་ཡང་ཐིག,W2DB13635
